Project Name,Modified,Active,Launch Date,Launch status,Other comments,Pipeline,BU,Company,Category,Brand,Exp Rev 2026 (M AED),Exp.Rev. 24 months (M AED),Product code,Code creation date,Target Project Monthly Net Sales (NR) (M AED),Actuals Monthly Net Sales (NR) (M AED),Target Project Monthly Net Sales (Volume),Actuals Monthly Net Sales (Volume),Project Month Target GP (M AED),Actuals Month GP (M AED),Project Month Target NP (M AED),Actuals Month NP (M AED),YTD Target Project Net Sales (NR) (M AED),YTD Actuals Net Sales (NR) (M AED),YTD Target Project Sales (Volume),YTD Actuals Sales (Volume),YTD Project Target GP (M AED),YTD Actuals GP (M AED),YTD Project Target NP (M AED),YTD Actuals NP (M AED),Modified By
FF unflatten beef burger 90 gm,06-09-2026 01:13,True,11-09-2024,True,There are no sales recorded yet for this item.,2023 + 2024,Protein & Frozen,Nabil,Beef product,Nabil,0.01,0.0,FGF12408,10-09-2024,0.0,0.0,,,,,,,0.0,0.0,,,,,,,Osama Abu Laila
Lurinzo cooked beef con carne 1 Kg,06-09-2026 01:13,True,1/19/2025,True,There are no sales recorded yet for this item.,Pipeline 2025,Protein & Frozen,Nabil,Beef product,Nabil,0.0,0.0,FGF12422,1/19/2025,0.01,0.0,,,,,,,0.0,0.0,,,,,,,Osama Abu Laila
Nabil Crunchy Cheesy Strips 600 gm,06-10-2026 00:12,True,09-01-2024,True,,2023 + 2024,Protein & Frozen,Nabil,Breaded,Nabil,0.03,0.0,FGF12328,7/31/2023,0.01,0.0,,,,,,,0.0,0.01,,,,,,,Mo’men Mafalha
Nabil sliced dry beef pepperoni cal 45 - 1 Kg,06-10-2026 00:12,True,01-09-2025,True,,Pipeline 2025,Protein & Frozen,Nabil,Breaded,Nabil,0.52,0.0,FGF12418,01-09-2025,0.0,0.0,,,,,,,0.08,0.08,,,,,,,Mo’men Mafalha
Nabil tempura chicken escalope 450 gm,06-09-2026 01:15,True,1/29/2025,True,There are no sales recorded yet for this item.,Pipeline 2025,Protein & Frozen,Nabil,Breaded,Nabil,0.04,0.0,FGF12410,10/29/2024,0.03,0.0,,,,,,,0.0,0.0,,,,,,,Osama Abu Laila
Atyab Chicken breaded chunks (FS),06-03-2026 00:43,True,01-01-2025,True,This product provided income this year but is still zero sales this month,Pipeline 2025,Protein & Frozen,Atyab,Breaded,Atyab,0.0,0.1,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,Daniel Perez
Chickitita Drumsticks,06-10-2026 04:40,True,01-01-2025,True,,Pipeline 2025,Protein & Frozen,Atyab,Breaded,Chikitita,2.2,0.0,41612,,0.05,0.0,,0.05,,,,,0.05,0.13,,13.83,,,,,Maged Galal
Cold Cuts (Press Beef),06-10-2026 04:42,True,01-01-2025,True,This product didnt provide income this year,Pipeline 2025,Protein & Frozen,Atyab,Cold Cuts,Atyab,0.0,0.1,21663,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,Maged Galal
Cold Cuts (Roast Beef),06-03-2026 00:43,True,01-01-2025,True,This product didnt provide income this year,Pipeline 2025,Protein & Frozen,Atyab,Cold Cuts,Atyab,0.0,0.1,21664,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,Daniel Perez
Cold Cuts (Roast Turkey),06-03-2026 00:43,True,01-01-2025,True,This product didnt provide income this year,Pipeline 2025,Protein & Frozen,Atyab,Cold Cuts,Atyab,0.0,0.1,21670,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,Daniel Perez
Cold Cuts (Turkey Lobes),06-10-2026 05:15,True,01-01-2025,True,This product provided income this year but is now zero sales,Pipeline 2025,Protein & Frozen,Atyab,Cold Cuts,Atyab,0.18,0.1,21672,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.14,,,,,Maged Galal
